Abomasnow, #460, Generation IV, 2.2 m, 135.5 kg, Frost Tree Pokemon, White, Grass, Ice, N/A, 
Snorlax, #143, Generation I, 2.1 m, 460.0 kg, Sleeping Pokemon, Black, Normal, N/A, N/A, 
Snorunt, #361, Generation III, 0.7 m, 16.8 kg, Snow Hat Pokemon, Gray, Ice, N/A, N/A, 
Snover, #459, Generation IV, 1.0 m, 50.5 kg, Frost Tree Pokemon, White, Grass, Ice, N/A, 
Snubbull, #209, Generation II, 0.6 m, 7.8 kg, Fairy Pokemon, Pink, Fairy, N/A, N/A, 
Sobble, #816, Generation VIII, 0.3 m, 4.0 kg, Water Lizard Pokemon, Blue, Water, N/A, N/A, 
Solgaleo, #791, Generation VII, 3.4 m, 230.0 kg, Sunne Pokemon, White, Psychic, Steel, Legendary, 
Solosis, #577, Generation V, 0.3 m, 1.0 kg, Cell Pokemon, Green, Psychic, N/A, N/A, 
Solrock, #338, Generation III, 1.2 m, 154.0 kg, Meteorite Pokemon, Red, Rock, Psychic, N/A, 
Spearow, #021, Generation I, 0.3 m, 2.0 kg, Tiny Bird Pokemon, Brown, Normal, Flying, N/A, 
Spectrier, #897, Generation VIII, 2.0 m, 44.5 kg, Swift Horse Pokemon, Black, Ghost, N/A, Legendary, 
Spewpa, #665, Generation VI, 0.3 m, 8.4 kg, Scatterdust Pokemon, Black, Bug, N/A, N/A, 
Spheal, #363, Generation III, 0.8 m, 39.5 kg, Clap Pokemon, Blue, Ice, Water, N/A, 
Spinarak, #167, Generation II, 0.5 m, 8.5 kg, String Spit Pokemon, Green, Bug, Poison, N/A, 
Spinda, #327, Generation III, 1.1 m, 5.0 kg, Spot Panda Pokemon, Brown, Normal, N/A, N/A, 
Spiritomb, #442, Generation IV, 1.0 m, 108.0 kg, Forbidden Pokemon, Purple, Ghost, Dark, N/A, 
Spoink, #325, Generation III, 0.7 m, 30.6 kg, Bounce Pokemon, Black, Psychic, N/A, N/A, 
Spritzee, #682, Generation VI, 0.2 m, 0.5 kg, Perfume Pokemon, Pink, Fairy, N/A, N/A, 
Squirtle, #007, Generation I, 0.5 m, 9.0 kg, Tiny Turtle Pokemon, Blue, Water, N/A, N/A, 
Stakataka, #805, Generation VII, 5.5 m, 820.0 kg, Rampart Pokemon, Gray, Rock, Steel, N/A, 
Stantler, #234, Generation II, 1.4 m, 71.2 kg, Big Horn Pokemon, Brown, Normal, N/A, N/A, 
Staraptor, #398, Generation IV, 1.2 m, 24.9 kg, Predator Pokemon, Brown, Normal, Flying, N/A, 
Staravia, #397, Generation IV, 0.6 m, 15.5 kg, Starling Pokemon, Brown, Normal, Flying, N/A, 
Starly, #396, Generation IV, 0.3 m, 2.0 kg, Starling Pokemon, Brown, Normal, Flying, N/A, 
Starmie, #121, Generation I, 1.1 m, 80.0 kg, Mysterious Pokemon, Purple, Water, Psychic, N/A, 
Staryu, #120, Generation I, 0.8 m, 34.5 kg, Star Shape Pokemon, Brown, Water, N/A, N/A, 
Steelix, #208, Generation II, 9.2 m, 400.0 kg, Iron Snake Pokemon, Gray, Steel, Ground, N/A, 
Steenee, #762, Generation VII, 0.7 m, 8.2 kg, Fruit Pokemon, Purple, Grass, N/A, N/A, 
Stonjourner, #874, Generation VIII, 2.5 m, 520.0 kg, Big Rock Pokemon, Gray, Rock, N/A, N/A, 
Stoutland, #508, Generation V, 1.2 m, 61.0 kg, Big-Hearted Pokemon, Gray, Normal, N/A, N/A, 
Stufful, #759, Generation VII, 0.5 m, 6.8 kg, Flailing Pokemon, Pink, Normal, Fighting, N/A, 
Stunfisk, #618, Generation V, 0.7 m, 11.0 kg, Trap Pokemon, Brown, Ground, Electric, N/A, 
Stunky, #434, Generation IV, 0.4 m, 19.2 kg, Skunk Pokemon, Purple, Poison, Dark, N/A, 
Sudowoodo, #185, Generation II, 1.2 m, 38.0 kg, Imitation Pokemon, Brown, Rock, N/A, N/A, 
Suicune, #245, Generation II, 2.0 m, 187.0 kg, Aurora Pokemon, Blue, Water, N/A, Legendary, 
Sunflora, #192, Generation II, 0.8 m, 8.5 kg, Sun Pokemon, Yellow, Grass, N/A, N/A, 
Sunkern, #191, Generation II, 0.3 m, 1.8 kg, Seed Pokemon, Yellow, Grass, N/A, N/A, 
Surskit, #283, Generation III, 0.5 m, 1.7 kg, Pond Skater Pokemon, Blue, Bug, Water, N/A, 
Swablu, #333, Generation III, 0.4 m, 1.2 kg, Cotton Bird Pokemon, Blue, Normal, Flying, N/A, 
Swadloon, #541, Generation V, 0.5 m, 7.3 kg, Leaf-Wrapped Pokemon, Green, Bug, Grass, N/A, 
Swalot, #317, Generation III, 1.7 m, 80.0 kg, Poison Bag Pokemon, Purple, Poison, N/A, N/A, 
Swampert, #260, Generation III, 1.5 m, 81.9 kg, Mud Fish Pokemon, Blue, Water, Ground, N/A, 
Swanna, #581, Generation V, 1.3 m, 24.2 kg, White Bird Pokemon, White, Water, Flying, N/A, 
Swellow, #277, Generation III, 0.7 m, 19.8 kg, Swallow Pokemon, Blue, Normal, Flying, N/A, 
Swinub, #220, Generation II, 0.4 m, 6.5 kg, Pig Pokemon, Brown, Ice, Ground, N/A, 
Swirlix, #684, Generation VI, 0.4 m, 3.5 kg, Cotton Candy Pokemon, White, Fairy, N/A, N/A, 
Swoobat, #528, Generation V, 0.9 m, 10.5 kg, Courting Pokemon, Blue, Psychic, Flying, N/A, 
Sylveon, #700, Generation VI, 1.0 m, 23.5 kg, Intertwining Pokemon, Pink, Fairy, N/A, N/A, 
Taillow, #276, Generation III, 0.3 m, 2.3 kg, Tiny Swallow Pokemon, Blue, Normal, Flying, N/A, 
Talonflame, #663, Generation VI, 1.2 m, 24.5 kg, Scorching Pokemon, Red, Fire, Flying, N/A, 
Tangela, #114, Generation I, 1.0 m, 35.0 kg, Vine Pokemon, Blue, Grass, N/A, N/A, 
Tangrowth, #465, Generation IV, 2.0 m, 128.6 kg, Vine Pokemon, Blue, Grass, N/A, N/A, 
Tapu Bulu, #787, Generation VII, 1.9 m, 45.5 kg, Land Spirit Pokemon, Red, Grass, Fairy, Legendary, 
Tapu Fini, #788, Generation VII, 1.3 m, 21.2 kg, Land Spirit Pokemon, Purple, Water, Fairy, Legendary, 
Tapu Koko, #785, Generation VII, 1.8 m, 20.5 kg, Land Spirit Pokemon, Yellow, Electric, Fairy, Legendary, 
Tapu Lele, #786, Generation VII, 1.2 m, 18.6 kg, Land Spirit Pokemon, Pink, Psychic, Fairy, Legendary, 
Tauros, #128, Generation I, 1.4 m, 88.4 kg, Wild Bull Pokemon, Brown, Normal, N/A, N/A, 
Teddiursa, #216, Generation II, 0.6 m, 8.8 kg, Little Bear Pokemon, Brown, Normal, N/A, N/A, 
Tentacool, #072, Generation I, 0.9 m, 45.5 kg, Jellyfish Pokemon, Blue, Water, Poison, N/A, 
Tentacruel, #073, Generation I, 1.6 m, 55.0 kg, Jellyfish Pokemon, Blue, Water, Poison, N/A, 
Tepig, #498, Generation V, 0.5 m, 9.9 kg, Fire Pig Pokemon, Red, Fire, N/A, N/A, 
Terrakion, #639, Generation V, 1.9 m, 260.0 kg, Cavern Pokemon, Gray, Rock, Fighting, Legendary, 
Thievul, #828, Generation VIII, 1.2 m, 19.9 kg, Fox Pokemon, Brown, Dark, N/A, N/A, 
Throh, #538, Generation V, 1.3 m, 55.5 kg, Judo Pokemon, Red, Fighting, N/A, N/A, 
Thundurus, #642, Generation V, 1.5 m, 61.0 kg, Bolt Strike Pokemon, Blue, Electric, Flying, Legendary, 
Thwackey, #811, Generation VIII, 0.7 m, 14.0 kg, Beat Pokemon, Green, Grass, N/A, N/A, 
Timburr, #532, Generation V, 0.6 m, 12.5 kg, Muscular Pokemon, Gray, Fighting, N/A, N/A, 
Tirtouga, #564, Generation V, 0.7 m, 16.5 kg, Prototurtle Pokemon, Blue, Water, Rock, Fossil, 
Togedemaru, #777, Generation VII, 0.3 m, 3.3 kg, Roly-Poly Pokemon, Gray, Electric, Steel, N/A, 
Togekiss, #468, Generation IV, 1.5 m, 38.0 kg, Jubilee Pokemon, White, Fairy, Flying, N/A, 
Togepi, #175, Generation II, 0.3 m, 1.5 kg, Spike Ball Pokemon, White, Fairy, N/A, baby, 
Togetic, #176, Generation II, 0.6 m, 3.2 kg, Happiness Pokemon, White, Fairy, Flying, N/A, 
Torchic, #255, Generation III, 0.4 m, 2.5 kg, Chick Pokemon, Red, Fire, N/A, N/A, 
Torkoal, #324, Generation III, 0.5 m, 80.4 kg, Coal Pokemon, Brown, Fire, N/A, N/A, 
Tornadus, #641, Generation V, 1.5 m, 63.0 kg, Cyclone Pokemon, Green, Flying, N/A, Legendary, 
Torracat, #726, Generation VII, 0.7 m, 25.0 kg, Fire Cat Pokemon, Red, Fire, N/A, N/A, 
Torterra, #389, Generation IV, 2.2 m, 310.0 kg, Continent Pokemon, Green, Grass, Ground, N/A, 
Totodile, #158, Generation II, 0.6 m, 9.5 kg, Big Jaw Pokemon, Blue, Water, N/A, N/A, 
Toucannon, #733, Generation VII, 1.1 m, 26.0 kg, Cannon Pokemon, Black, Normal, Flying, N/A, 
Toxapex, #748, Generation VII, 0.7 m, 14.5 kg, Brutal Star Pokemon, Blue, Poison, Water, N/A, 
Toxel, #848, Generation VIII, 0.4 m, 11.0 kg, Baby Pokemon, Purple, Electric, Poison, baby, 
Toxicroak, #454, Generation IV, 1.3 m, 44.4 kg, Toxic Mouth Pokemon, Blue, Poison, Fighting, N/A, 
Toxtricity, #849, Generation VIII, 1.6 m, 40.0 kg, Punk Pokemon, Purple, Electric, Poison, N/A, 
Tranquill, #520, Generation V, 0.6 m, 15.0 kg, Wild Pigeon Pokemon, Gray, Normal, Flying, N/A, 
Trapinch, #328, Generation III, 0.7 m, 15.0 kg, Ant Pit Pokemon, Brown, Ground, N/A, N/A, 
Treecko, #252, Generation III, 0.5 m, 5.0 kg, Wood Gecko Pokemon, Green, Grass, N/A, N/A, 
Trevenant, #709, Generation VI, 1.5 m, 71.0 kg, Elder Tree Pokemon, Brown, Ghost, Grass, N/A, 
Tropius, #357, Generation III, 2.0 m, 100.0 kg, Fruit Pokemon, Green, Grass, Flying, N/A, 
Trubbish, #568, Generation V, 0.6 m, 31.0 kg, Trash Bag Pokemon, Green, Poison, N/A, N/A, 
Trumbeak, #732, Generation VII, 0.6 m, 14.8 kg, Bugle Beak Pokemon, Black, Normal, Flying, N/A, 
Tsareena, #763, Generation VII, 1.2 m, 21.4 kg, Fruit Pokemon, Purple, Grass, N/A, N/A, 
Turtonator, #776, Generation VII, 2.0 m, 212.0 kg, Blast Turtle Pokemon, Red, Fire, Dragon, N/A, 
Turtwig, #387, Generation IV, 0.4 m, 10.2 kg, Tiny Leaf Pokemon, Green, Grass, N/A, N/A, 
Tympole, #535, Generation V, 0.5 m, 4.5 kg, Tadpole Pokemon, Blue, Water, N/A, N/A, 
Tynamo, #602, Generation V, 0.2 m, 0.3 kg, EleFish Pokemon, White, Electric, N/A, N/A, 
Type Null, #772, Generation VII, 1.9 m, 120.5 kg, Synthetic Pokemon, Gray, Normal, N/A, Legendary, 
Typhlosion, #157, Generation II, 1.7 m, 79.5 kg, Volcano Pokemon, Yellow, Fire, N/A, N/A, 
Tyranitar, #248, Generation II, 2.0 m, 202.0 kg, Armor Pokemon, Green, Rock, Dark, pseudo-legendary, 
Tyrantrum, #697, Generation VI, 2.5 m, 270.0 kg, Despot Pokemon, Red, Rock, Dragon, Fossil, 
Tyrogue, #236, Generation II, 0.7 m, 21.0 kg, Scuffle Pokemon, Purple, Fighting, N/A, baby, 
Tyrunt, #696, Generation VI, 0.8 m, 26.0 kg, Royal Heir Pokemon, Brown, Rock, Dragon, Fossil, 
Umbreon, #197, Generation II, 1.0 m, 27.0 kg, Moonlight Pokemon, Black, Dark, N/A, N/A, 
Unfezant, #521, Generation V, 1.2 m, 29.0 kg, Proud Pokemon, Gray, Normal, Flying, N/A, 
Unown, #201, Generation II, 0.5 m, 5.0 kg, Symbol Pokemon, Black, Psychic, N/A, N/A, 
Ursaring, #217, Generation II, 1.8 m, 125.8 kg, Hibernator Pokemon, Brown, Normal, N/A, N/A, 
Urshifu, #892, Generation VIII, 1.9 m, 105.0 kg, Wushu Pokemon, Gray, Fighting, N/A, Legendary, 
Uxie, #480, Generation IV, 0.3 m, 0.3 kg, Knowledge Pokemon, Yellow, Psychic, N/A, Legendary, 
Vanillish, #583, Generation V, 1.1 m, 41.0 kg, Icy Snow Pokemon, White, Ice, N/A, N/A, 
Vanillite, #582, Generation V, 0.4 m, 5.7 kg, Fresh Snow Pokemon, White, Ice, N/A, N/A, 
Vanilluxe, #584, Generation V, 1.3 m, 57.5 kg, Snowstorm Pokemon, White, Ice, N/A, N/A, 
Vaporeon, #134, Generation I, 1.0 m, 29.0 kg, Bubble Jet Pokemon, Blue, Water, N/A, N/A, 
Venipede, #543, Generation V, 0.4 m, 5.3 kg, Centipede Pokemon, Red, Bug, Poison, N/A, 
Venomoth, #049, Generation I, 1.5 m, 12.5 kg, Poison Moth Pokemon, Purple, Bug, Poison, N/A, 
Venonat, #048, Generation I, 1.0 m, 30.0 kg, Insect Pokemon, Purple, Bug, Poison, N/A, 
Venusaur, #003, Generation I, 2.0 m, 100.0 kg, Seed Pokemon, Green, Grass, Poison, N/A, 
Vespiquen, #416, Generation IV, 1.2 m, 38.5 kg, Beehive Pokemon, Yellow, Bug, Flying, N/A, 
Vibrava, #329, Generation III, 1.1 m, 15.3 kg, Vibration Pokemon, Green, Ground, Dragon, N/A, 
Victini, #495, Generation V, 0.4 m, 4.0 kg, Victory Pokemon, Yellow, Psychic, Fire, Mythical, 
Victreebel, #071, Generation I, 1.7 m, 15.5 kg, Flycatcher Pokemon, Green, Grass, Poison, N/A, 
Vigoroth, #288, Generation III, 1.4 m, 46.5 kg, Wild Monkey Pokemon, White, Normal, N/A, N/A, 
Vikavolt, #738, Generation VII, 1.5 m, 45.0 kg, Stag Beetle Pokemon, Blue, Bug, Electric, N/A, 
Vileplume, #045, Generation I, 1.2 m, 18.6 kg, Flower Pokemon, Red, Grass, Poison, N/A, 
Virizion, #640, Generation V, 2.0 m, 200.0 kg, Grassland Pokemon, Green, Grass, Fighting, Legendary, 
Vivillon, #666, Generation VI, 1.2 m, 17.0 kg, Scale Pokemon, White, Bug, Flying, N/A, 
Volbeat, #313, Generation III, 0.7 m, 17.7 kg, Firefly Pokemon, Gray, Bug, N/A, N/A, 
Volcanion, #721, Generation VI, 1.7 m, 195.0 kg, Steam Pokemon, Brown, Fire, Water, Mythical, 
Volcarona, #637, Generation V, 1.6 m, 46.0 kg, Sun Pokemon, White, Bug, Fire, N/A, 
Voltorb, #100, Generation I, 0.5 m, 10.4 kg, Ball Pokemon, Red, Electric, N/A, N/A, 
Vullaby, #629, Generation V, 0.5 m, 9.0 kg, Diapered Pokemon, Brown, Dark, Flying, N/A, 
Vulpix, #037, Generation I, 0.6 m, 9.9 kg, Fox Pokemon, Brown, Fire, N/A, N/A, 
Wailmer, #320, Generation III, 2.0 m, 130.0 kg, Ball Whale Pokemon, Blue, Water, N/A, N/A, 
Wailord, #321, Generation III, 14.5 m, 398.0 kg, Float Whale Pokemon, Blue, Water, N/A, N/A, 
Walrein, #365, Generation III, 1.4 m, 150.6 kg, Ice Break Pokemon, Blue, Ice, Water, N/A, 
Wartortle, #008, Generation I, 1.0 m, 22.5 kg, Turtle Pokemon, Blue, Water, N/A, N/A, 
Watchog, #505, Generation V, 1.1 m, 27.0 kg, Lookout Pokemon, Brown, Normal, N/A, N/A, 
Weavile, #461, Generation IV, 1.1 m, 34.0 kg, Sharp Claw Pokemon, Black, Dark, Ice, N/A, 
Weedle, #013, Generation I, 0.3 m, 3.2 kg, Hairy Bug Pokemon, Brown, Bug, Poison, N/A, 
Weepinbell, #070, Generation I, 1.0 m, 6.4 kg, Flycatcher Pokemon, Green, Grass, Poison, N/A, 
Weezing, #110, Generation I, 1.2 m, 9.5 kg, Poison Gas Pokemon, Purple, Poison, N/A, N/A, 
Whimsicott, #547, Generation V, 0.7 m, 6.6 kg, Windveiled Pokemon, Green, Grass, Fairy, N/A, 
Whirlipede, #544, Generation V, 1.2 m, 58.5 kg, Curlipede Pokemon, Gray, Bug, Poison, N/A, 
Whiscash, #340, Generation III, 0.9 m, 23.6 kg, Whiskers Pokemon, Blue, Water, Ground, N/A, 
Whismur, #293, Generation III, 0.6 m, 16.3 kg, Whisper Pokemon, Pink, Normal, N/A, N/A, 
Wigglytuff, #040, Generation I, 1.0 m, 12.0 kg, Balloon Pokemon, Pink, Normal, Fairy, N/A, 
Wimpod, #767, Generation VII, 0.5 m, 12.0 kg, Turn Tail Pokemon, Gray, Bug, Water, N/A, 
Wingull, #278, Generation III, 0.6 m, 9.5 kg, Seagull Pokemon, White, Water, Flying, N/A, 
Wishiwashi, #746, Generation VII, 0.2 m, 0.3 kg, Small Fry Pokemon, Blue, Water, N/A, N/A, 
Wobbuffet, #202, Generation II, 1.3 m, 28.5 kg, Patient Pokemon, Blue, Psychic, N/A, N/A, 
Woobat, #527, Generation V, 0.4 m, 2.1 kg, Bat Pokemon, Blue, Psychic, Flying, N/A, 
Wooloo, #831, Generation VIII, 0.6 m, 6.0 kg, Sheep Pokemon, White, Normal, N/A, N/A, 
Wooper, #194, Generation II, 0.4 m, 8.5 kg, Water Fish Pokemon, Blue, Water, Ground, N/A, 
Wormadam, #413, Generation IV, 0.5 m, 6.5 kg, Bagworm Pokemon, Green, Bug, N/A, N/A, 
Wurmple, #265, Generation III, 0.3 m, 3.6 kg, Worm Pokemon, Red, Bug, N/A, N/A, 
Wynaut, #360, Generation III, 0.6 m, 14.0 kg, Bright Pokemon, Blue, Psychic, N/A, baby, 
Xatu, #178, Generation II, 1.5 m, 15.0 kg, Mystic Pokemon, Green, Psychic, Flying, N/A, 
Xerneas, #716, Generation VI, 3.0 m, 215.0 kg, Life Pokemon, Blue, Fairy, N/A, Legendary, 
Xurkitree, #796, Generation VII, 3.8 m, 100.0 kg, Glowing Pokemon, Black, Electric, N/A, N/A, 
Yamask, #562, Generation V, 0.5 m, 1.5 kg, Spirit Pokemon, Black, Ghost, N/A, N/A, 
Yamper, #835, Generation VIII, 0.3 m, 13.5 kg, Puppy Pokemon, Yellow, Electric, N/A, N/A, 
Yanma, #193, Generation II, 1.2 m, 38.0 kg, Clear Wing Pokemon, Red, Bug, Flying, N/A, 
Yanmega, #469, Generation IV, 1.9 m, 51.5 kg, Ogre Darner Pokemon, Green, Bug, Flying, N/A, 
Yungoos, #734, Generation VII, 0.4 m, 6.0 kg, Loitering Pokemon, Brown, Normal, N/A, N/A, 
Yveltal, #717, Generation VI, 5.8 m, 203.0 kg, Destruction Pokemon, Red, Dark, Flying, Legendary, 
Zacian, #888, Generation VIII, 2.8 m, 110.0 kg, Warrior Pokemon, Blue, Fairy, N/A, Legendary, 
Zamazenta, #889, Generation VIII, 2.9 m, 210.0 kg, Warrior Pokemon, Red, Fighting, N/A, Legendary, 
Zangoose, #335, Generation III, 1.3 m, 40.3 kg, Cat Ferret Pokemon, White, Normal, N/A, N/A, 
Zapdos, #145, Generation I, 1.6 m, 52.6 kg, Electric Pokemon, Yellow, Electric, Flying, Legendary, 
Zarude, #893, Generation VIII, 1.8 m, 70.0 kg, Rogue Monkey Pokemon, Black, Dark, Grass, Mythical, 
Zebstrika, #523, Generation V, 1.6 m, 79.5 kg, Thunderbolt Pokemon, Black, Electric, N/A, N/A, 
Zekrom, #644, Generation V, 2.9 m, 345.0 kg, Deep Black Pokemon, Black, Dragon, Electric, Legendary, 
Zeraora, #807, Generation VII, 1.5 m, 44.5 kg, Thunderclap Pokemon, Yellow, Electric, N/A, Mythical, 
Zigzagoon, #263, Generation III, 0.4 m, 17.5 kg, Tiny Raccoon Pokemon, Brown, Normal, N/A, N/A, 
Zoroark, #571, Generation V, 1.6 m, 81.1 kg, Illusion Fox Pokemon, Gray, Dark, N/A, N/A, 
Zorua, #570, Generation V, 0.7 m, 12.5 kg, Tricky Fox Pokemon, Gray, Dark, N/A, N/A, 
Zubat, #041, Generation I, 0.8 m, 7.5 kg, Bat Pokemon, Purple, Poison, Flying, N/A, 
Zweilous, #634, Generation V, 1.4 m, 50.0 kg, Hostile Pokemon, Blue, Dark, Dragon, N/A, 
Zygarde, #718, Generation VI, 5.0 m, 305.0 kg, Order Pokemon, Green, Dragon, Ground, Legendary, 

